Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	73	35.609756097560975	4.0132392708797067E-7	NRP1, DOCK8, CTNND2, DYSF, FMN1, SLC7A11, VLDLR, SLC6A2, CELSR2, SLC8A1, PSTPIP2, GSG1, ENPP1, CAR12, CPNE2, HS3ST3B1, ARRDC4, EPHA4, ABCC2, UNC5B, SLC30A4, SLC39A11, KREMEN1, EMP1, UBE2QL1, LMO7, ACSL4, UNC5C, GAB2, SSTR2, SLC39A14, TGFBR2, SYTL2, RGMA, DNAJC1, PALLD, TLN2, PLPP3, PLA2R1, CD44, EPHA2, SKAP2, GRIA1, PARM1, GPR87, CHRNA7, SLC41A2, NEDD9, TNFRSF11A, APCDD1, SLC7A1, MESD, CRHR1, PDZD2, FLRT1, HAS3, RELT, DRD5, FZD1, PCDH9, NEGR1, SORBS2, CPPED1, VEGFA, SYT17, SLC8A3, PTPRD, BAMBI, ALPL, FAT3, SDK2, ITM2B, SERINC5	204	6054	29722	1.7568242030872476	1.0554264398754398E-4	2.1109638564827257E-5	1.8541165431464247E-5
GOTERM_BP_DIRECT	GO:0045893~positive regulation of DNA-templated transcription	21	10.24390243902439	4.121345807623227E-7	TFAP2A, FZD1, JUN, EYA1, DLX5, IRX4, WNT5A, WNT7A, HOXC13, GATA3, ETV4, TBX3, BMP4, LBH, MYCN, NFIL3, LHX2, BAMBI, MYC, HAS3, SOX9	202	782	29712	3.9499632827732896	8.552256519434032E-4	4.2779569483129095E-5	3.9647346669335445E-5
GOTERM_BP_DIRECT	GO:0042733~embryonic digit morphogenesis	8	3.902439024390244	4.4182703692541963E-7	BMP4, MYCN, MSX2, WNT5A, WNT7A, MSX1, PRICKLE1, TBX3	202	69	29712	17.053809728798967	9.16812601626904E-4	4.367775850748434E-5	4.047977233545273E-5
GOTERM_MF_DIRECT	GO:0000976~transcription cis-regulatory region binding	13	6.341463414634147	4.5787814317780414E-7	TFAP2A, DLX2, JUN, DLX3, MSX2, DLX5, SOX13, HOXC13, GATA3, SMAD6, CREB3L1, MSX1, SOX9	198	275	28924	6.905638200183655	2.2158851767140053E-4	2.4623669033117468E-5	2.3809663445245815E-5
GOTERM_BP_DIRECT	GO:0001822~kidney development	11	5.365853658536586	5.518205643814373E-7	TFAP2A, BMP4, TFAP2B, TGFB2, CYP26B1, WNT5A, ENPP1, FMN1, GATA3, PCSK5, VEGFA	202	184	29712	8.793370641411968	0.001144923881624016	5.207179507526653E-5	4.825921663044933E-5
GOTERM_BP_DIRECT	GO:0008285~negative regulation of cell population proliferation	15	7.317073170731707	6.056348586309936E-7	TFAP2A, TFAP2B, TGFB2, JUN, MSX2, P3H2, GATA3, SMAD6, TGFBR2, BMP4, GJB6, SMYD2, SPRY1, MSX1, SKAP2	202	397	29712	5.557523006708731	0.0012565082787642234	5.466512897904099E-5	5.066267252200138E-5
GOTERM_BP_DIRECT	GO:0007411~axon guidance	11	5.365853658536586	8.539847949784024E-7	NRP1, EPHA4, TGFB2, EDN3, DLX5, LHX2, TUBB3, UNC5B, WNT5A, UNC5C, GATA3	202	193	29712	8.383317088185501	0.0017713025800297766	7.38696847656318E-5	6.846111439743526E-5
UP_SEQ_FEATURE	COMPBIAS:Polar residues	84	40.97560975609756	9.422629898067652E-7	MAPKBP1, BNC2, GALNT16, CTNND2, FMN1, NR3C1, CELSR2, TTC28, PSD2, SPTLC3, SALL3, CREB3L1, MYC, SOSTDC1, SOX9, DACT1, TLE4, PROSER2, ABCC2, EDN3, SFMBT2, SOX13, LMO7, GAB2, MYRIP, MTSS1, SYTL2, RGMA, ADAMTS20, TIAM2, TBC1D1, ISL2, PALLD, SNHG11, LMX1B, SOWAHA, TOX, PPP1R12B, ST6GALNAC5, CD44, DLX2, PARM1, DLX3, ZFP703, DLX5, PRUNE2, NRXN3, NEDD9, TNFRSF11A, PRICKLE1, GATA3, EVPL, BARX2, PTHLH, CACNA1I, NUAK1, PDZD2, NFIL3, MAP2, EIF4EBP1, ZIM1, PDLIM5, RAB11FIP2, 5031439G07RIK, RAB11FIP5, BHLHA9, TFAP2A, IRX1, TFAP2B, PCDH9, EYA1, TXNRD1, SORBS2, POU4F1, TBX3, RALYL, LHX2, KIF26B, FAT3, CCSER1, CPEB2, RETREG1, SDK2, ITM2B	205	5628	22253	1.6201674554058973	8.495605362013325E-4	1.6998424336114043E-4	1.680997173815269E-4
GOTERM_BP_DIRECT	GO:0098609~cell-cell adhesion	11	5.365853658536586	1.1280446182525318E-6	NEGR1, CTNND2, ITGB8, FAT3, TLN2, SOX9, PRICKLE1, FNDC3A, PLPP3, CELSR2, VEGFA	202	199	29712	8.130553758893477	0.002339082022574046	9.367282509969024E-5	8.681431382071484E-5
GOTERM_BP_DIRECT	GO:0048813~dendrite morphogenesis	7	3.414634146341464	1.2432069464903559E-6	MAP2, BTBD3, SLITRK5, FMN1, VLDLR, CELSR2, DACT1	202	51	29712	20.188701223063486	0.0025775715682221367	9.92652931120761E-5	9.199731404028634E-5
GOTERM_BP_DIRECT	GO:0003148~outflow tract septum morphogenesis	6	2.9268292682926833	1.4027171020865063E-6	BMP4, NRP1, TGFB2, MSX2, SMAD6, TGFBR2	202	29	29712	30.432229429839534	0.0029078068626380293	1.0785335940487359E-4	9.995658164497919E-5
GOTERM_BP_DIRECT	GO:0043524~negative regulation of neuron apoptotic process	11	5.365853658536586	1.6130837122097241E-6	TFAP2A, NRP1, TFAP2B, EPHA4, JUN, UNC5B, EN1, POU4F1, RETREG1, CRHR1, VEGFA	202	207	29712	7.816329459032859	0.0033431636292963196	1.1959863523383525E-4	1.1084189508183961E-4
GOTERM_BP_DIRECT	GO:0007399~nervous system development	13	6.341463414634147	2.163496084192696E-6	TFAP2A, TFAP2B, EPHA4, NRXN3, GATA3, POU4F1, MTSS1, VEGFA, TGFBR2, PTPRD, LHX2, PALLD, HOXA1	202	321	29712	5.9568798001295455	0.00448135137414607	1.4971392902613458E-4	1.387522155328916E-4
GOTERM_BP_DIRECT	GO:0007507~heart development	13	6.341463414634147	2.163496084192696E-6	NRP1, TGFB2, IRX4, PRICKLE1, POU4F1, PCSK5, TGFBR2, BMP4, SMYD2, ENPP1, MSX1, SOX9, PDLIM5	202	321	29712	5.9568798001295455	0.00448135137414607	1.4971392902613458E-4	1.387522155328916E-4
UP_SEQ_FEATURE	TOPO_DOM:Extracellular	47	22.926829268292686	2.2619597000234938E-6	GRIA1, NRP1, PARM1, GPR87, CHRNA7, SLC41A2, NRXN3, DYSF, TMTC1, SLC7A11, VLDLR, TNFRSF11A, APCDD1, SLC7A1, PCSK5, SLC6A2, CELSR2, CRHR1, SLC8A1, FLRT1, HAS3, ITGB8, SLITRK5, ENPP1, CAR12, RELT, DRD5, FZD1, EPHA4, ABCC2, UNC5B, KREMEN1, UNC5C, SSTR2, SLC39A14, TGFBR2, PTPRD, SLC8A3, BAMBI, GJB6, FAT3, PLPP3, PLA2R1, SERINC5, SDK2, CD44, EPHA2	205	2481	22253	2.0563915022463406	0.0020382099801897757	3.400479415701986E-4	3.3627800873682606E-4
GOTERM_BP_DIRECT	GO:1902895~positive regulation of miRNA transcription	7	3.414634146341464	2.973673280270759E-6	BMP4, TGFB2, JUN, MYC, GATA3, SMAD6, NR3C1	202	59	29712	17.45125020976674	0.006154338904196921	1.99140184833616E-4	1.8455959326583676E-4
GOTERM_MF_DIRECT	GO:0046872~metal ion binding	41	20.0	3.1738373567255667E-6	NRP1, BNC2, GALNT16, ZFP703, GALNT18, NRXN3, DYSF, TNFRSF11A, PRICKLE1, SLC6A2, ZFP36L2, SLC8A1, CACNA1I, TUBB3, SALL3, SMYD2, ITGB8, ENPP1, ZIM1, CPNE2, PDLIM5, GALNT7, EYA1, SLC30A4, LMO7, MYRIP, DDHD1, KLF14, SMAD6, CPPED1, ADAMTS20, TGFBR2, SLC8A3, ZFP322A, ISL2, LHX2, SP6, LNX1, ALPL, SP8, LMX1B	198	2748	28924	2.1795171511328717	0.0015349604596717192	1.5361372806551742E-4	1.485355882947565E-4
GOTERM_BP_DIRECT	GO:0043066~negative regulation of apoptotic process	18	8.780487804878048	3.2566342203252923E-6	TFAP2A, TFAP2B, TGFB2, JUN, MSX2, HGF, WNT5A, WNT7A, PIK3R1, SMAD6, NR3C1, POU4F1, TBX3, VEGFA, ADAMTS20, MSX1, SOX9, CD44	202	666	29712	3.975381321915975	0.006737980969191759	2.1127414504360333E-4	1.958051324970582E-4
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	14	6.829268292682928	3.578678168437756E-6	TGFB2, ABCC2, SFMBT2, DYSF, GATA3, POU4F1, VEGFA, BMP4, MYCN, MYC, CREB3L1, ITGB8, MSX1, SOX9	202	398	29712	5.173988755659487	0.007401819774176421	2.2006586305736904E-4	2.0395314090673313E-4
GOTERM_BP_DIRECT	GO:0050679~positive regulation of epithelial cell proliferation	8	3.902439024390244	3.6347574527291613E-6	BMP4, MYCN, EYA1, DLX5, MYC, WNT5A, SOX9, VEGFA	202	94	29712	12.518222034969455	0.007517372334240657	2.2006586305736904E-4	2.0395314090673313E-4
GOTERM_BP_DIRECT	GO:0035116~embryonic hindlimb morphogenesis	6	2.9268292682926833	3.710166284685894E-6	BMP4, MSX2, RSPO2, WNT7A, MSX1, TBX3	202	35	29712	25.215275813295612	0.007672732643759561	2.2006586305736904E-4	2.0395314090673313E-4
GOTERM_MF_DIRECT	GO:0000977~RNA polymerase II transcription regulatory region sequence-specific DNA binding	14	6.829268292682928	3.926546503118775E-6	TFAP2A, BHLHA9, TFAP2B, DLX2, MSX2, SOX13, GATA3, NR3C1, BARX2, ZFP322A, NFIL3, LHX2, MSX1, LMX1B	198	399	28924	5.1256423888002836	0.001898647522724728	1.7276804613722608E-4	1.6705670576905331E-4
GOTERM_BP_DIRECT	GO:0002053~positive regulation of mesenchymal cell proliferation	6	2.9268292682926833	4.284984832593222E-6	MYCN, MYC, WNT5A, SOX9, VEGFA, TGFBR2	202	36	29712	24.514851485148515	0.008856198360632339	2.471007920128758E-4	2.290086338308155E-4
GOTERM_MF_DIRECT	GO:0000987~cis-regulatory region sequence-specific DNA binding	8	3.902439024390244	4.364899867315212E-6	TFAP2A, ZFP322A, TFAP2B, ISL2, MYC, MSX1, SOX9, GATA3	198	96	28924	12.173400673400675	0.002110386143633458	1.760509613150469E-4	1.7023109482529328E-4
GOTERM_BP_DIRECT	GO:0010595~positive regulation of endothelial cell migration	7	3.414634146341464	4.811153031243932E-6	BMP4, NRP1, WNT5A, WNT7A, GATA3, PLPP3, VEGFA	202	64	29712	16.087871287128714	0.009938263522590751	2.6994469440168653E-4	2.5017995762468447E-4
GOTERM_BP_DIRECT	GO:0090090~negative regulation of canonical Wnt signaling pathway	9	4.390243902439024	5.58950362368355E-6	TLE4, FZD1, WNT5A, KREMEN1, SOX13, SOSTDC1, SOX9, PRICKLE1, DACT1	202	141	29712	9.38866652622709	0.011536777032934542	3.053634084938697E-4	2.8300539399913553E-4
