Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0043025~neuronal cell body	20	8.849557522123893	3.634225206122954E-6	GRIA1, TGFB2, TGFB1, NEGR1, KCNIP1, GAD1, KCNB2, TXNRD1, KREMEN1, SORBS2, ACSL4, UNC5C, CRHR1, SLC8A1, DAB1, TUBB3, PALLD, ENC1, ENPP1, DRD5	226	667	27008	3.5833410728264186	9.58977085111723E-4	1.9188709088329195E-4	1.671743594816559E-4
INTERPRO	IPR020479:HD_metazoa	9	3.982300884955752	3.6598707395749488E-6	DLX1, DLX2, DLX3, DLX4, MSX2, EN1, HOXA1, MSX1, BARX2	224	91	22313	9.851697409733124	0.002963759967673507	7.420387924488209E-4	7.356340186545647E-4
GOTERM_BP_DIRECT	GO:0003148~outflow tract septum morphogenesis	6	2.6548672566371683	4.1022538220164215E-6	BMP4, TGFB2, FGF8, MSX2, SMAD6, TGFBR2	225	29	26568	24.430344827586207	0.008772950393724832	2.591659179320963E-4	2.4287755716820753E-4
GOTERM_BP_DIRECT	GO:0016477~cell migration	14	6.1946902654867255	4.782317774578751E-6	TGFB2, PRAG1, WNT5A, NEDD9, GAB2, PRICKLE1, CDH8, CDH2, BAMBI, PALLD, ITGB8, ADAM9, CD44, EPHA2	225	328	26568	5.04	0.010219861799077079	2.917115564392144E-4	2.733777295680347E-4
GOTERM_BP_DIRECT	GO:0003180~aortic valve morphogenesis	6	2.6548672566371683	4.889020498981248E-6	BMP4, TGFB1, SOX9, GATA3, SMAD6, TGFBR2	225	30	26568	23.616000000000003	0.010446691986308432	2.917115564392144E-4	2.733777295680347E-4
KEGG_PATHWAY	mmu05226:Gastric cancer	11	4.867256637168142	4.910194758605174E-6	FZD1, WNT10B, TGFB2, FGF8, TGFB1, HGF, MYC, WNT5A, WNT7A, PIK3R1, TGFBR2	116	150	10620	6.713793103448276	0.0011973730386848347	5.990437605498313E-4	5.253908391707536E-4
GOTERM_BP_DIRECT	GO:0045444~fat cell differentiation	9	3.982300884955752	5.048456482432896E-6	WNT10B, TFAP2B, NEGR1, DYSF, LRRC8C, ENPP1, SMAD6, PLCB1, RUNX1T1	225	112	26568	9.488571428571428	0.01078552647603015	2.9308336552069897E-4	2.746633215983086E-4
GOTERM_BP_DIRECT	GO:0060070~canonical Wnt signaling pathway	9	3.982300884955752	5.39408536693939E-6	FZD1, WNT10B, TGFB1, WNT5A, WNT7A, SOSTDC1, SOST, SOX9, GATA3	225	113	26568	9.404601769911505	0.011519661312715312	3.04907772846995E-4	2.857445748328682E-4
GOTERM_CC_DIRECT	GO:0045202~synapse	26	11.504424778761061	5.74668449088132E-6	GRIA1, NRXN3, VLDLR, NR3C1, SLC6A2, SLC8A1, CDH2, LRRTM1, CHN2, PDLIM5, DACT1, DRD5, NGFR, EPHA4, KCNIP1, GAD1, SORBS2, UNC5C, MYRIP, SHISA7, TIAM2, PLCXD3, GAP43, DAB1, CPEB2, SDK2	226	1099	27008	2.8272202404438467	0.0015159788062840684	2.5285411759877805E-4	2.202895721504506E-4
GOTERM_BP_DIRECT	GO:0021953~central nervous system neuron differentiation	7	3.0973451327433628	6.897570931808736E-6	SALL1, DAB1, EN1, HOXA1, LMX1B, POU4F1, EPHA2	225	55	26568	15.028363636363636	0.014706816089998909	3.798969836288504E-4	3.5602077655720474E-4
