"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"GOTERM_BP_DIRECT","protein localization to plasma membrane","5","144","169","26481","1.35e-2","2.69e-1","5.44","1.00e+0","2.62e-1","2.35e-3","CACNB2,PTCH1,TPBG,TTC7B,SKAP1"
"GOTERM_BP_DIRECT","negative regulation of neuron projection development","4","144","94","26481","1.45e-2","2.79e-1","7.83","1.00e+0","2.72e-1","1.75e-3","MYLIP,PMP22,HES1,TBX6"
"GOTERM_BP_DIRECT","positive regulation of gluconeogenesis","3","144","34","26481","1.45e-2","2.79e-1","16.23","1.00e+0","2.72e-1","8.33e-4","SUPT20,HIF1A,FOXO1"
"GOTERM_BP_DIRECT","embryonic pattern specification","3","144","34","26481","1.45e-2","2.79e-1","16.23","1.00e+0","2.72e-1","8.33e-4","MEIS1,LHX1,BMP7"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 2","5","144","146","22331","1.46e-2","4.74e-1","5.31","1.00e+0","4.70e-1","2.59e-3","BOC,CNTN2,MERTK,FGFR3,DSCAML1"
"GOTERM_MF_DIRECT","protein domain specific binding","7","143","340","24402","1.48e-2","3.59e-1","3.51","9.96e-1","3.55e-1","3.99e-3","CACNB2,TRP63,IRS2,HOXB1,HIF1A,MPP7,AJAP1"
"UP_SEQ_FEATURE","DOMAIN:Ig-like C2-type 1","5","144","147","22331","1.49e-2","4.74e-1","5.27","1.00e+0","4.70e-1","2.67e-3","BOC,CNTN2,MERTK,FGFR3,DSCAML1"
"GOTERM_CC_DIRECT","membrane","45","144","6036","26676","1.49e-2","2.03e-1","1.38","9.69e-1","1.93e-1","1.05e-2","SLC35B3,PTPRU,PHTF2,CD83,CERK,SLC44A1,TMEM200B,NCF2,PELI2,HPCA,GRIK1,LDLRAD3,AQP4,DLL1,LYPD6,LMAN1,EDNRB,BOC,PIEZO2,ITGAV,KCNN4,ASIC2,FILIP1L,LY6G6E,JAG2,ABCA1,CHST9,JAG1,PTCH1,ADAM10,SLC39A10,MERTK,MPP7,EFNA1,IBTK,PMP22,CTNNB1,B3GNT2,ASPHD2,DSG2,STT3B,BMPR1B,FGFR3,PDZRN3,DSCAML1"
"UP_SEQ_FEATURE","TOPO_DOM:Extracellular","26","144","2489","22331","1.51e-2","4.74e-1","1.62","1.00e+0","4.70e-1","8.92e-3","PTPRU,CD83,ITGB5,GRIK1,LDLRAD3,AQP4,DLL1,EDNRB,BOC,PIEZO2,ITGAV,ASIC2,JAG2,ABCA1,JAG1,PTCH1,TPBG,ADAM10,MERTK,AJAP1,PMP22,PLXNB2,DSG2,BMPR1B,FGFR3,DSCAML1"
"UP_SEQ_FEATURE","DOMAIN:Fibronectin type-III 3","4","144","81","22331","1.53e-2","4.74e-1","7.66","1.00e+0","4.70e-1","1.88e-3","PTPRU,BOC,CNTN2,DSCAML1"
"GOTERM_BP_DIRECT","embryonic hindlimb morphogenesis","3","144","35","26481","1.53e-2","2.79e-1","15.76","1.00e+0","2.73e-1","9.07e-4","ALX3,CTNNB1,TRP63"
"GOTERM_BP_DIRECT","negative regulation of neurogenesis","3","144","35","26481","1.53e-2","2.79e-1","15.76","1.00e+0","2.73e-1","9.07e-4","CTNNB1,HES1,BMP7"
"GOTERM_BP_DIRECT","multicellular organism growth","5","144","177","26481","1.57e-2","2.79e-1","5.19","1.00e+0","2.73e-1","2.87e-3","PKDCC,PPP1R13L,PMP22,HMGA2,ARID5B"
"GOTERM_BP_DIRECT","negative regulation of DNA-templated transcription","10","144","715","26481","1.58e-2","2.79e-1","2.57","1.00e+0","2.73e-1","5.83e-3","SBNO2,LHX1,PTCH1,ZFP503,CTNNB1,HMGA2,TRP63,HES1,BMP7,SOX5"
"GOTERM_BP_DIRECT","neural fold elevation formation","2","144","3","26481","1.61e-2","2.79e-1","122.60","1.00e+0","2.73e-1","8.78e-5","BMP7,HIF1A"
"GOTERM_BP_DIRECT","lateral inhibition","2","144","3","26481","1.61e-2","2.79e-1","122.60","1.00e+0","2.73e-1","8.78e-5","HES1,DLL1"
"GOTERM_BP_DIRECT","loop of Henle development","2","144","3","26481","1.61e-2","2.79e-1","122.60","1.00e+0","2.73e-1","8.78e-5","JAG1,DLL1"
"GOTERM_BP_DIRECT","oviduct development","2","144","3","26481","1.61e-2","2.79e-1","122.60","1.00e+0","2.73e-1","8.78e-5","LHX1,CTNNB1"
