Category;Term;Count;List Total;Pop Hits;Pop Total;P-Value;Benjamini;Fold Enrichment;Bonferroni;FDR;Fisher Exact;User Ids
UP_SEQ_FEATURE;DOMAIN:Ricin B lectin;2;143;14;22331;8.55E-02;1.00E+00;22.31;1.00E+00;9.94E-01;3.52E-03;GALNT2,GALNT1
GOTERM_CC_DIRECT;cell projection membrane;2;144;17;26676;8.74E-02;5.48E-01;21.79;1.00E+00;5.19E-01;3.73E-03;CTNNB1,AQP4
GOTERM_BP_DIRECT;epithelial cell-cell adhesion;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;ITGB5,KIFC3
GOTERM_BP_DIRECT;positive regulation of cartilage development;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;BMPR1B,SOX5
GOTERM_BP_DIRECT;nitric oxide biosynthetic process;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;CYP1B1,RORA
GOTERM_BP_DIRECT;protein transmembrane transport;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;ABCA1,EDNRB
GOTERM_BP_DIRECT;regulation of osteoclast differentiation;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;CTNNB1,FGFR3
GOTERM_BP_DIRECT;epithelial cell development;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;TRP63,DLL1
GOTERM_BP_DIRECT;negative regulation of astrocyte differentiation;2;144;17;26481;8.80E-02;6.54E-01;21.63;1.00E+00;6.39E-01;3.79E-03;HMGA2,FGFR3
GOTERM_MF_DIRECT;RNA polymerase II transcription regulatory region sequence-specific DNA binding;6;143;405;24402;8.83E-02;9.48E-01;2.53;1.00E+00;9.37E-01;3.24E-02;LHX1,ALX3,RORA,HOXB1,HIF1A,KLF15
UP_SEQ_FEATURE;DOMAIN:EGF-like 12;;;;;;;;;;;
GOTERM_CC_DIRECT;extracellular matrix;6;144;445;26676;9.18E-02;5.61E-01;2.5;1.00E+00;5.32E-01;3.41E-02;LMAN1,WNT11,PLXNB2,ADAM10,BMP7,FBLN2
GOTERM_BP_DIRECT;lipid metabolic process;5;144;316;26481;9.25E-02;6.76E-01;2.91;1.00E+00;6.61E-01;2.95E-02;CERK,PMP22,LIPM,NKX1-1,CYP1B1
GOTERM_BP_DIRECT;trophoblast giant cell differentiation;2;144;18;26481;9.29E-02;6.76E-01;20.43;1.00E+00;6.61E-01;4.24E-03;ITGAV,NR2F2
GOTERM_BP_DIRECT;negative regulation of stem cell differentiation;2;144;18;26481;9.29E-02;6.76E-01;20.43;1.00E+00;6.61E-01;4.24E-03;JAG1,HES1
GOTERM_BP_DIRECT;cerebellar Purkinje cell differentiation;2;144;18;26481;9.29E-02;6.76E-01;20.43;1.00E+00;6.61E-01;4.24E-03;LHX1,RORA
GOTERM_BP_DIRECT;positive regulation of translation;3;144;95;26481;9.35E-02;6.76E-01;5.81;1.00E+00;6.61E-01;1.51E-02;LIN28A,CYP1B1,PLXNB2
